Codigo,Nombre Oferta,Empresa,Ubicacion,Modalidad,Seniority,Nivel_Educacion,Anios_Experiencia,Salario_COP,Salario_Millones,Habilidad,URL
B8D9BCE94462DF7D61373E686DCF3405,Analista de calidad,Confidencial / No especificada,"Siberia, Cundinamarca",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,,,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-en-siberia-B8D9BCE94462DF7D61373E686DCF3405#lc=ListOffers-Score0-5
89799C4FF2AC23B461373E686DCF3405,Practicante de Análisis de Redes Sociales / Remoto,SIIGO S.A.S,"4,8",Remoto,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,,,"Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-analisis-de-redes-sociales-remoto-en-bogota-dc-89799C4FF2AC23B461373E686DCF3405#lc=ListOffers-Score0-6
178BE16D3C9F283E61373E686DCF3405,Jefe financiero y riesgo,Confidencial / No especificada,"Santa Marta, Magdalena",Presencial y remoto,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,,,"Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-financiero-y-riesgo-en-santa-marta-178BE16D3C9F283E61373E686DCF3405#lc=ListOffers-Score0-7
EFB0C9115BC258AB61373E686DCF3405,Analista de Calidad – Contact Center (Inglés B2/C1),SOLVO S.A.S,"4,6",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera tecnológica,1,,,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-contact-center-ingles-b2c1-en-medellin-EFB0C9115BC258AB61373E686DCF3405#lc=ListOffers-Score0-8
3B1ECF13D18C230261373E686DCF3405,Asistente de investigación de mercados,Confidencial / No especificada,"Bogotá, D.C., Bogotá, D.C.",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera tecnológica,1,1750905.0,1.750905,"Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-investigacion-de-mercados-en-bogota-dc-3B1ECF13D18C230261373E686DCF3405#lc=ListOffers-Score0-13
CD728F7F4D9F4BBD61373E686DCF3405,Practicante Universitario,Fenavi,"Bogotá, D.C., Bogotá, D.C.",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera técnica,1,2000000.0,2.0,"Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-universitario-economia-en-bogota-dc-CD728F7F4D9F4BBD61373E686DCF3405#lc=ListOffers-Score0-15
D6D4B65C16EBE91C61373E686DCF3405,Practicante de Mercadeo y Análisis de Información Comercial,Eficacia,"4,6",Presencial y remoto,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,1750905.0,1.750905,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-mercadeo-y-analisis-de-informacion-comercial-estudiantes-de-mercadeo-ingenierias-administracion-negocios-o-afines-en-pereira-D6D4B65C16EBE91C61373E686DCF3405#lc=ListOffers-Score0-16
998B75BA081F229461373E686DCF3405,inspector de calidad,Confidencial / No especificada,"Ginebra, Valle del Cauca",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,2081000.0,2.081,"Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-inspector-de-calidad-cerrito-ginebra-palmira-en-ginebra-998B75BA081F229461373E686DCF3405#lc=ListOffers-Score0-0
259A8BD3F277349F61373E686DCF3405,Analista de calidad,Adecco Colombia S.A.,"4,6",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,2444000.0,2.444,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-contratacion-inmediata-en-bogota-dc-259A8BD3F277349F61373E686DCF3405#lc=ListOffers-Score0-3
CE41F29D56BA313F61373E686DCF3405,Auxiliar de laboratorio,Confidencial / No especificada,"Tocancipá, Cundinamarca",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera técnica,1,2200000.0,2.2,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-laboratorio-laboratorio-farmaceutico-en-tocancipa-CE41F29D56BA313F61373E686DCF3405#lc=ListOffers-Score0-6
F73A7A08BBCE2FEB61373E686DCF3405,Analista de calidad,CAJA DE COMPENSACION FAMILIAR DE CALDAS - AGENCIA,"4,7",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera tecnológica,1,2038000.0,2.038,"Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-en-manizales-F73A7A08BBCE2FEB61373E686DCF3405#lc=ListOffers-Score0-7
44DD3F6E8900D6BA61373E686DCF3405,Profesional notas técnicas,Clínicos Programas de Atención Integral S.A.S. IPS,"4,4",Remoto,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,4000000.0,4.0,"Python, R, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesional-notas-tecnicas-en-bogota-dc-44DD3F6E8900D6BA61373E686DCF3405#lc=ListOffers-Score0-8
BB1774320E812BBA61373E686DCF3405,Supervisor de cumplimiento y asuntos regulatorios,BG LABS SAS,"Sotaquirá, Boyacá",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,3890000.0,3.89,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-de-cumplimiento-y-asuntos-regulatorios-regulatorio-en-sotaquira-BB1774320E812BBA61373E686DCF3405#lc=ListOffers-Score0-14
AED49C33DA5A893061373E686DCF3405,Profesional Mecanico,Trabajadores Temporales S.A.S.,"4,3",No especificada,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,,,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesional-mecanico-club-norte-de-bogota-en-bogota-dc-AED49C33DA5A893061373E686DCF3405#lc=ListOffers-Score0-16
